K,Mode,Time,ObjFun
1,0,0.000121,70633.585938
1,1,0.002823,70633.585938
1,2,0.002141,70633.585938
1,3,0.003912,70633.585938
1,0,0.000119,70633.585938
1,1,0.00043,70633.585938
1,2,0.002232,70633.585938
1,3,0.003442,70633.585938
1,0,0.000127,70633.585938
1,1,0.001189,70633.585938
1,2,0.00215,70633.585938
1,3,0.003286,70633.585938
1,0,0.000127,70633.585938
1,1,0.002708,70633.585938
1,2,0.002255,70633.585938
1,3,0.002475,70633.585938
1,0,0.000167,70633.585938
1,1,0.000484,70633.585938
1,2,0.00226,70633.585938
1,3,0.004064,70633.585938
1,0,0.000173,70633.585938
1,1,0.002013,70633.585938
1,2,0.002286,70633.585938
1,3,0.004926,70633.585938
1,0,0.000131,70633.585938
1,1,0.000515,70633.585938
1,2,0.002223,70633.585938
1,3,0.006144,70633.585938
1,0,0.000125,70633.585938
1,1,0.000442,70633.585938
1,2,0.001972,70633.585938
1,3,0.005527,70633.585938
1,0,0.000123,70633.585938
1,1,0.002527,70633.585938
1,2,0.002113,70633.585938
1,3,0.003922,70633.585938
1,0,0.000116,70633.585938
1,1,0.002392,70633.585938
1,2,0.002159,70633.585938
1,3,0.003985,70633.585938
1,0,0.000142,70633.585938
1,1,0.000456,70633.585938
1,2,0.002291,70633.585938
1,3,0.00499,70633.585938
1,0,0.000105,70633.585938
1,1,0.000443,70633.585938
1,2,0.002126,70633.585938
1,3,0.003675,70633.585938
1,0,0.000129,70633.585938
1,1,0.002086,70633.585938
1,2,0.002151,70633.585938
1,3,0.004496,70633.585938
1,0,0.000145,70633.585938
1,1,0.000443,70633.585938
1,2,0.002197,70633.585938
1,3,0.005644,70633.585938
1,0,0.000136,70633.585938
1,1,0.002559,70633.585938
1,2,0.002172,70633.585938
1,3,0.003942,70633.585938
1,0,0.000275,70633.585938
1,1,0.000955,70633.585938
1,2,0.002343,70633.585938
1,3,0.007135,70633.585938
1,0,0.000105,70633.585938
1,1,0.000449,70633.585938
1,2,0.001821,70633.585938
1,3,0.003234,70633.585938
1,0,0.000162,70633.585938
1,1,0.000883,70633.585938
1,2,0.002931,70633.585938
1,3,0.004302,70633.585938
1,0,0.000105,70633.585938
1,1,0.000436,70633.585938
1,2,0.002302,70633.585938
1,3,0.004601,70633.585938
1,0,0.000121,70633.585938
1,1,0.002597,70633.585938
1,2,0.002943,70633.585938
1,3,0.00235,70633.585938
1,0,0.000152,70633.585938
1,1,0.002591,70633.585938
1,2,0.00228,70633.585938
1,3,0.003604,70633.585938
1,0,0.000121,70633.585938
1,1,0.002399,70633.585938
1,2,0.002505,70633.585938
1,3,0.003091,70633.585938
1,0,0.000151,70633.585938
1,1,0.000465,70633.585938
1,2,0.002132,70633.585938
1,3,0.003768,70633.585938
1,0,0.000127,70633.585938
1,1,0.002505,70633.585938
1,2,0.002311,70633.585938
1,3,0.004733,70633.585938
1,0,0.000125,70633.585938
1,1,0.000436,70633.585938
1,2,0.0022,70633.585938
1,3,0.003956,70633.585938
1,0,0.000135,70633.585938
1,1,0.002372,70633.585938
1,2,0.00232,70633.585938
1,3,0.003999,70633.585938
1,0,0.000123,70633.585938
1,1,0.000457,70633.585938
1,2,0.002129,70633.585938
1,3,0.00397,70633.585938
1,0,0.000126,70633.585938
1,1,0.000463,70633.585938
1,2,0.002088,70633.585938
1,3,0.004571,70633.585938
1,0,0.000126,70633.585938
1,1,0.002617,70633.585938
1,2,0.002225,70633.585938
1,3,0.002357,70633.585938
1,0,0.000134,70633.585938
1,1,0.001251,70633.585938
1,2,0.002146,70633.585938
1,3,0.004985,70633.585938
2,0,0.000451,19126.722656
2,1,0.001269,19126.722656
2,2,0.004289,19126.722656
2,3,0.002868,19126.722656
2,0,0.000435,19126.722656
2,1,0.001022,19126.722656
2,2,0.004706,19126.722656
2,3,0.005533,19126.722656
2,0,0.000388,19126.722656
2,1,0.00107,19126.722656
2,2,0.002903,19126.722656
2,3,0.002303,19126.722656
2,0,0.000248,19126.722656
2,1,0.000482,19126.722656
2,2,0.002843,19126.722656
2,3,0.005259,19126.722656
2,0,0.000238,19126.722656
2,1,0.002322,19126.722656
2,2,0.002888,19126.722656
2,3,0.004465,19126.722656
2,0,0.000345,19126.722656
2,1,0.00058,19126.722656
2,2,0.00372,19126.722656
2,3,0.003005,19126.722656
2,0,0.000437,19126.722656
2,1,0.001133,19126.722656
2,2,0.003813,19126.722656
2,3,0.00315,19126.722656
2,0,0.000475,19126.722656
2,1,0.000906,19126.722656
